model_id,round_number,reference_date,target_end_date,target,horizon,location,location_name,output_type,output_type_id,forecast_value,observed_value,outcome_status,outcome_source_year_week,outcome_data_version,forecast_file
hubdemo-damped4,1,2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,mean,,11.92,29.0,available,2025W40,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,mean,,10.256,33.0,available,2025W41,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-19,weekly incident influenza cases,2,SE,Sverige,mean,,8.9248,59.0,available,2025W42,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-26,weekly incident influenza cases,3,SE,Sverige,mean,,7.85984,55.0,available,2025W43,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,mean,,0.92,1.0,available,2025W40,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,mean,,0.856,4.0,available,2025W41,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,mean,,0.8048,4.0,available,2025W42,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,mean,,0.76384,4.0,available,2025W43,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,mean,,2.6,3.0,available,2025W40,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,mean,,2.28,6.0,available,2025W41,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,mean,,2.024,11.0,available,2025W42,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,mean,,1.8192,13.0,available,2025W43,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-exptrend4,1,2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,mean,,11.129113,29.0,available,2025W40,2026-08-25T00:00:00Z,hubdemo-exptrend4/2025-10-05-hubdemo-exptrend4.csv
hubdemo-exptrend4,1,2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,mean,,9.844494,33.0,available,2025W41,2026-08-25T00:00:00Z,hubdemo-exptrend4/2025-10-05-hubdemo-exptrend4.csv
