reference_date,target_end_date,target,horizon,location,location_name,output_type,output_type_id,value,distribution,mean,standard_deviation,mean_window_weeks,training_sample_count,training_last_target_end_date,outcome_data_version
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.5,13,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.75,196.293137154,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.9,361.262678276,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,quantile,0.975,545.621803861,normal_quantiles_clipped_at_zero,13,271.750811781,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.5,13,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.75,259.926888916,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.9,482.168791628,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,quantile,0.975,730.531747442,normal_quantiles_clipped_at_zero,13,366.094353315,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,13,436.461361796,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,13,436.461361796,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,13,436.461361796,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE,Sverige,quantile,0.5,13,normal_quantiles_clipped_at_zero,13,436.461361796,3,508,2025-09-28,2026-08-25T00:00:00Z
