location,location_name,horizon,forecast_kind,n,mean_wis,coverage_50,nominal_coverage_50,coverage_80,nominal_coverage_80,coverage_95,nominal_coverage_95,first_reference_date,last_reference_date,outcome_data_version
SE,Sverige,0,nowcast,33,176.348479379,0.515151515152,0.5,0.666666666667,0.8,0.787878787879,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,1,forecast,33,238.301866703,0.515151515152,0.5,0.606060606061,0.8,0.727272727273,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,2,forecast,33,281.45364276,0.454545454545,0.5,0.636363636364,0.8,0.757575757576,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,3,forecast,33,308.308381324,0.515151515152,0.5,0.636363636364,0.8,0.787878787879,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,0,nowcast,33,17.5790396974,0.606060606061,0.5,0.666666666667,0.8,0.909090909091,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,1,forecast,33,24.0339595323,0.636363636364,0.5,0.69696969697,0.8,0.848484848485,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,2,forecast,33,29.3805236101,0.575757575758,0.5,0.69696969697,0.8,0.818181818182,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,3,forecast,33,33.6041736408,0.515151515152,0.5,0.666666666667,0.8,0.818181818182,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,0,nowcast,33,25.9895003829,0.515151515152,0.5,0.606060606061,0.8,0.727272727273,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,1,forecast,33,32.7603586663,0.484848484848,0.5,0.636363636364,0.8,0.757575757576,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,2,forecast,33,37.4589187453,0.515151515152,0.5,0.636363636364,0.8,0.818181818182,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,3,forecast,33,41.5549903319,0.515151515152,0.5,0.69696969697,0.8,0.787878787879,0.95,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
