model_id,round_number,reference_date,target_end_date,target,horizon,location,location_name,forecast_kind,forecast_value,observed_value,error,absolute_error,squared_error,outcome_data_version,forecast_file
hubdemo-damped4,1,2025-10-05,2025-10-05,weekly incident influenza cases,0,SE,Sverige,nowcast,11.92,29,-17.08,17.08,291.7264,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,2,2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,nowcast,33.64,33,0.64,0.64,0.4096,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-12-hubdemo-damped4.csv
hubdemo-damped4,3,2025-10-19,2025-10-19,weekly incident influenza cases,0,SE,Sverige,nowcast,38.28,59,-20.72,20.72,429.3184,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-19-hubdemo-damped4.csv
hubdemo-damped4,4,2025-10-26,2025-10-26,weekly incident influenza cases,0,SE,Sverige,nowcast,70.12,55,15.12,15.12,228.6144,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-26-hubdemo-damped4.csv
hubdemo-damped4,5,2025-11-02,2025-11-02,weekly incident influenza cases,0,SE,Sverige,nowcast,63.32,65,-1.68,1.68,2.8224,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-02-hubdemo-damped4.csv
hubdemo-damped4,6,2025-11-09,2025-11-09,weekly incident influenza cases,0,SE,Sverige,nowcast,72.36,59,13.36,13.36,178.4896,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-09-hubdemo-damped4.csv
hubdemo-damped4,7,2025-11-16,2025-11-16,weekly incident influenza cases,0,SE,Sverige,nowcast,59.8,80,-20.2,20.2,408.04,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-16-hubdemo-damped4.csv
hubdemo-damped4,8,2025-11-23,2025-11-23,weekly incident influenza cases,0,SE,Sverige,nowcast,85.52,182,-96.48,96.48,9308.3904,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-23-hubdemo-damped4.csv
hubdemo-damped4,9,2025-11-30,2025-11-30,weekly incident influenza cases,0,SE,Sverige,nowcast,211.76,376,-164.24,164.24,26974.7776,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-30-hubdemo-damped4.csv
hubdemo-damped4,10,2025-12-07,2025-12-07,weekly incident influenza cases,0,SE,Sverige,nowcast,460.24,717,-256.76,256.76,65925.6976,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-07-hubdemo-damped4.csv
hubdemo-damped4,11,2025-12-14,2025-12-14,weekly incident influenza cases,0,SE,Sverige,nowcast,885.4,1325,-439.6,439.6,193248.16,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-14-hubdemo-damped4.csv
hubdemo-damped4,12,2025-12-21,2025-12-21,weekly incident influenza cases,0,SE,Sverige,nowcast,1626.6,1638,-11.4,11.4,129.96,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-21-hubdemo-damped4.csv
hubdemo-damped4,13,2025-12-28,2025-12-28,weekly incident influenza cases,0,SE,Sverige,nowcast,1989.52,1682,307.52,307.52,94568.5504,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-28-hubdemo-damped4.csv
hubdemo-damped4,14,2026-01-04,2026-01-04,weekly incident influenza cases,0,SE,Sverige,nowcast,1938.64,2227,-288.36,288.36,83151.4896,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-04-hubdemo-damped4.csv
hubdemo-damped4,15,2026-01-11,2026-01-11,weekly incident influenza cases,0,SE,Sverige,nowcast,2447,1532,915,915,837225,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-11-hubdemo-damped4.csv
hubdemo-damped4,16,2026-01-18,2026-01-18,weekly incident influenza cases,0,SE,Sverige,nowcast,1550.16,1082,468.16,468.16,219173.7856,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-18-hubdemo-damped4.csv
hubdemo-damped4,17,2026-01-25,2026-01-25,weekly incident influenza cases,0,SE,Sverige,nowcast,882.4,968,-85.6,85.6,7327.36,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-25-hubdemo-damped4.csv
hubdemo-damped4,18,2026-02-01,2026-02-01,weekly incident influenza cases,0,SE,Sverige,nowcast,629.84,1107,-477.16,477.16,227681.6656,2026-08-25T00:00:00Z,hubdemo-damped4/2026-02-01-hubdemo-damped4.csv
hubdemo-damped4,19,2026-02-08,2026-02-08,weekly incident influenza cases,0,SE,Sverige,nowcast,995.88,1404,-408.12,408.12,166561.9344,2026-08-25T00:00:00Z,hubdemo-damped4/2026-02-08-hubdemo-damped4.csv
hubdemo-damped4,20,2026-02-15,2026-02-15,weekly incident influenza cases,0,SE,Sverige,nowcast,1492.4,1616,-123.6,123.6,15276.96,2026-08-25T00:00:00Z,hubdemo-damped4/2026-02-15-hubdemo-damped4.csv
hubdemo-damped4,21,2026-02-22,2026-02-22,weekly incident influenza cases,0,SE,Sverige,nowcast,1795.28,1529,266.28,266.28,70905.0384,2026-08-25T00:00:00Z,hubdemo-damped4/2026-02-22-hubdemo-damped4.csv
hubdemo-damped4,22,2026-03-01,2026-03-01,weekly incident influenza cases,0,SE,Sverige,nowcast,1647.24,1252,395.24,395.24,156214.6576,2026-08-25T00:00:00Z,hubdemo-damped4/2026-03-01-hubdemo-damped4.csv
hubdemo-damped4,23,2026-03-08,2026-03-08,weekly incident influenza cases,0,SE,Sverige,nowcast,1208.56,775,433.56,433.56,187974.2736,2026-08-25T00:00:00Z,hubdemo-damped4/2026-03-08-hubdemo-damped4.csv
hubdemo-damped4,24,2026-03-15,2026-03-15,weekly incident influenza cases,0,SE,Sverige,nowcast,551,475,76,76,5776,2026-08-25T00:00:00Z,hubdemo-damped4/2026-03-15-hubdemo-damped4.csv
hubdemo-damped4,25,2026-03-22,2026-03-22,weekly incident influenza cases,0,SE,Sverige,nowcast,183.88,321,-137.12,137.12,18801.8944,2026-08-25T00:00:00Z,hubdemo-damped4/2026-03-22-hubdemo-damped4.csv
hubdemo-damped4,26,2026-03-29,2026-03-29,weekly incident influenza cases,0,SE,Sverige,nowcast,73.56,223,-149.44,149.44,22332.3136,2026-08-25T00:00:00Z,hubdemo-damped4/2026-03-29-hubdemo-damped4.csv
hubdemo-damped4,27,2026-04-05,2026-04-05,weekly incident influenza cases,0,SE,Sverige,nowcast,78.2,187,-108.8,108.8,11837.44,2026-08-25T00:00:00Z,hubdemo-damped4/2026-04-05-hubdemo-damped4.csv
hubdemo-damped4,28,2026-04-12,2026-04-12,weekly incident influenza cases,0,SE,Sverige,nowcast,110.04,175,-64.96,64.96,4219.8016,2026-08-25T00:00:00Z,hubdemo-damped4/2026-04-12-hubdemo-damped4.csv
hubdemo-damped4,29,2026-04-19,2026-04-19,weekly incident influenza cases,0,SE,Sverige,nowcast,137.08,106,31.08,31.08,965.9664,2026-08-25T00:00:00Z,hubdemo-damped4/2026-04-19-hubdemo-damped4.csv
hubdemo-damped4,30,2026-04-26,2026-04-26,weekly incident influenza cases,0,SE,Sverige,nowcast,76.96,89,-12.04,12.04,144.9616,2026-08-25T00:00:00Z,hubdemo-damped4/2026-04-26-hubdemo-damped4.csv
hubdemo-damped4,31,2026-05-03,2026-05-03,weekly incident influenza cases,0,SE,Sverige,nowcast,59.96,74,-14.04,14.04,197.1216,2026-08-25T00:00:00Z,hubdemo-damped4/2026-05-03-hubdemo-damped4.csv
hubdemo-damped4,32,2026-05-10,2026-05-10,weekly incident influenza cases,0,SE,Sverige,nowcast,48.4,65,-16.6,16.6,275.56,2026-08-25T00:00:00Z,hubdemo-damped4/2026-05-10-hubdemo-damped4.csv
hubdemo-damped4,33,2026-05-17,2026-05-17,weekly incident influenza cases,0,SE,Sverige,nowcast,53.96,53,0.96,0.96,0.9216,2026-08-25T00:00:00Z,hubdemo-damped4/2026-05-17-hubdemo-damped4.csv
hubdemo-damped4,1,2025-10-05,2025-10-12,weekly incident influenza cases,1,SE,Sverige,forecast,10.256,33,-22.744,22.744,517.289536,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-05-hubdemo-damped4.csv
hubdemo-damped4,2,2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,forecast,37.352,59,-21.648,21.648,468.635904,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-12-hubdemo-damped4.csv
hubdemo-damped4,3,2025-10-19,2025-10-26,weekly incident influenza cases,1,SE,Sverige,forecast,42.504,55,-12.496,12.496,156.150016,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-19-hubdemo-damped4.csv
hubdemo-damped4,4,2025-10-26,2025-11-02,weekly incident influenza cases,1,SE,Sverige,forecast,79.016,65,14.016,14.016,196.448256,2026-08-25T00:00:00Z,hubdemo-damped4/2025-10-26-hubdemo-damped4.csv
hubdemo-damped4,5,2025-11-02,2025-11-09,weekly incident influenza cases,1,SE,Sverige,forecast,69.976,59,10.976,10.976,120.472576,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-02-hubdemo-damped4.csv
hubdemo-damped4,6,2025-11-09,2025-11-16,weekly incident influenza cases,1,SE,Sverige,forecast,78.248,80,-1.752,1.752,3.069504,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-09-hubdemo-damped4.csv
hubdemo-damped4,7,2025-11-16,2025-11-23,weekly incident influenza cases,1,SE,Sverige,forecast,60.44,182,-121.56,121.56,14776.8336,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-16-hubdemo-damped4.csv
hubdemo-damped4,8,2025-11-23,2025-11-30,weekly incident influenza cases,1,SE,Sverige,forecast,89.936,376,-286.064,286.064,81832.612096,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-23-hubdemo-damped4.csv
hubdemo-damped4,9,2025-11-30,2025-12-07,weekly incident influenza cases,1,SE,Sverige,forecast,235.568,717,-481.432,481.432,231776.770624,2026-08-25T00:00:00Z,hubdemo-damped4/2025-11-30-hubdemo-damped4.csv
hubdemo-damped4,10,2025-12-07,2025-12-14,weekly incident influenza cases,1,SE,Sverige,forecast,527.632,1325,-797.368,797.368,635795.727424,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-07-hubdemo-damped4.csv
hubdemo-damped4,11,2025-12-14,2025-12-21,weekly incident influenza cases,1,SE,Sverige,forecast,1020.12,1638,-617.88,617.88,381775.6944,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-14-hubdemo-damped4.csv
hubdemo-damped4,12,2025-12-21,2025-12-28,weekly incident influenza cases,1,SE,Sverige,forecast,1867.88,1682,185.88,185.88,34551.3744,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-21-hubdemo-damped4.csv
hubdemo-damped4,13,2025-12-28,2026-01-04,weekly incident influenza cases,1,SE,Sverige,forecast,2270.736,2227,43.736,43.736,1912.837696,2026-08-25T00:00:00Z,hubdemo-damped4/2025-12-28-hubdemo-damped4.csv
hubdemo-damped4,14,2026-01-04,2026-01-11,weekly incident influenza cases,1,SE,Sverige,forecast,2143.952,1532,611.952,611.952,374485.250304,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-04-hubdemo-damped4.csv
hubdemo-damped4,15,2026-01-11,2026-01-18,weekly incident influenza cases,1,SE,Sverige,forecast,2623,1082,1541,1541,2374681,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-11-hubdemo-damped4.csv
hubdemo-damped4,16,2026-01-18,2026-01-25,weekly incident influenza cases,1,SE,Sverige,forecast,1564.688,968,596.688,596.688,356036.569344,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-18-hubdemo-damped4.csv
hubdemo-damped4,17,2026-01-25,2026-02-01,weekly incident influenza cases,1,SE,Sverige,forecast,722.72,1107,-384.28,384.28,147671.1184,2026-08-25T00:00:00Z,hubdemo-damped4/2026-01-25-hubdemo-damped4.csv
