model_id,location,location_name,forecast_kind,n,mae,bias,rmse,first_reference_date,last_reference_date,outcome_data_version
hubdemo-damped4,SE,Sverige,forecast,99,473.815324444,21.5369050505,710.431940717,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE,Sverige,nowcast,33,176.876363636,0.270303030303,271.233942544,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-M,Region Skåne,forecast,99,44.6798933333,5.68305131313,70.8446619473,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-M,Region Skåne,nowcast,33,16.6860606061,0.855757575758,28.4525523167,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-O,Västra Götalandsregionen,forecast,99,62.8965430303,4.02430060606,97.5429759687,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-O,Västra Götalandsregionen,nowcast,33,31.6957575758,0.139393939394,50.6656476772,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE,Sverige,forecast,99,1239.12267697,948.822555576,2936.96254216,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE,Sverige,nowcast,33,248.809541697,147.480656667,423.54350011,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-M,Region Skåne,forecast,99,91.3691414949,66.2439481414,188.486626894,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-M,Region Skåne,nowcast,33,23.6676044545,12.7601291818,39.6491790506,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-O,Västra Götalandsregionen,forecast,99,144.667461141,109.323054859,301.311940953,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-O,Västra Götalandsregionen,nowcast,33,39.6103726061,17.4630830303,64.558214503,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE,Sverige,forecast,99,557.435353535,77.6878787879,840.714641591,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE,Sverige,nowcast,33,216.393939394,2.93939393939,328.472267175,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-M,Region Skåne,forecast,99,50.2454545455,12.1323232323,82.8298529846,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-M,Region Skåne,nowcast,33,20.0151515152,2.31818181818,32.8814445233,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-O,Västra Götalandsregionen,forecast,99,70.9353535354,12.6868686869,112.933687524,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
