model_id,location,location_name,horizon,forecast_kind,n,mae,bias,rmse,first_reference_date,last_reference_date,outcome_data_version
hubdemo-damped4,SE,Sverige,0,nowcast,33,176.876363636,0.270303030303,271.233942544,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE,Sverige,1,forecast,33,323.763878788,7.10012121212,500.002637867,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE,Sverige,2,forecast,33,482.710884848,21.3971393939,709.714458026,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE,Sverige,3,forecast,33,614.971209697,36.1134545455,872.034045992,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-M,Region Skåne,0,nowcast,33,16.6860606061,0.855757575758,28.4525523167,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-M,Region Skåne,1,forecast,33,32.4482424242,3.00290909091,50.3851126257,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-M,Region Skåne,2,forecast,33,46.8102787879,5.8432,71.5211561124,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-M,Region Skåne,3,forecast,33,54.7811587879,8.20304484848,86.040473228,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-O,Västra Götalandsregionen,0,nowcast,33,31.6957575758,0.139393939394,50.6656476772,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-O,Västra Götalandsregionen,1,forecast,33,53.1536969697,1.25066666667,79.4169408506,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-O,Västra Götalandsregionen,2,forecast,33,61.7608242424,4.13221818182,97.2772802431,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-damped4,SE-O,Västra Götalandsregionen,3,forecast,33,73.7751078788,6.6900169697,113.022018815,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE,Sverige,0,nowcast,33,248.809541697,147.480656667,423.54350011,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE,Sverige,1,forecast,33,574.899146727,386.681498061,1027.79720653,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE,Sverige,2,forecast,33,1125.74750988,826.993453394,2199.10649357,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE,Sverige,3,forecast,33,2016.7213743,1632.79271527,4470.43738959,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-M,Region Skåne,0,nowcast,33,23.6676044545,12.7601291818,39.6491790506,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-M,Region Skåne,1,forecast,33,49.8072095152,30.8164332727,84.4474342085,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-M,Region Skåne,2,forecast,33,85.9285186667,60.3034372121,156.904163696,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-M,Region Skåne,3,forecast,33,138.371696303,107.611973939,273.553175497,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-O,Västra Götalandsregionen,0,nowcast,33,39.6103726061,17.4630830303,64.558214503,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-O,Västra Götalandsregionen,1,forecast,33,74.5054944242,45.6120901212,124.126937969,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-O,Västra Götalandsregionen,2,forecast,33,133.283805182,95.9365508182,228.51824676,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-exptrend4,SE-O,Västra Götalandsregionen,3,forecast,33,226.213083818,186.420523636,452.480465269,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE,Sverige,0,nowcast,33,216.393939394,2.93939393939,328.472267175,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE,Sverige,1,forecast,33,384.166666667,28.8636363636,586.465779053,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE,Sverige,2,forecast,33,560.048484848,74.0787878788,827.968339682,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE,Sverige,3,forecast,33,728.090909091,130.121212121,1044.47577485,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-M,Region Skåne,0,nowcast,33,20.0151515152,2.31818181818,32.8814445233,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-M,Region Skåne,1,forecast,33,36.5909090909,6.43333333333,57.6176556485,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-M,Region Skåne,2,forecast,33,51.1060606061,12.1181818182,82.5597579718,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-M,Region Skåne,3,forecast,33,63.0393939394,17.8454545455,102.207855655,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-O,Västra Götalandsregionen,0,nowcast,33,37.6666666667,0.545454545455,57.8700215478,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-O,Västra Götalandsregionen,1,forecast,33,56.6848484848,4.89696969697,88.9059428085,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-O,Västra Götalandsregionen,2,forecast,33,70.4818181818,11.9424242424,112.438051631,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-linear4,SE-O,Västra Götalandsregionen,3,forecast,33,85.6393939394,21.2212121212,133.099478632,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE,Sverige,0,nowcast,33,289.818181848,-2.82828275758,403.659072097,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE,Sverige,1,forecast,33,392.141414152,-3.55555548485,546.907337994,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE,Sverige,2,forecast,33,473.868686879,-3.46464639394,652.093032638,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE,Sverige,3,forecast,33,518.333333364,-2.25252518182,724.261274622,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-M,Region Skåne,0,nowcast,33,29.343434303,-0.0909090909091,43.6662810554,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-M,Region Skåne,1,forecast,33,39.080808,-0.212121212121,59.2384042743,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-M,Region Skåne,2,forecast,33,48.4848484242,-0.121212121212,71.5317733793,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-M,Region Skåne,3,forecast,33,57.060606,-0.030303030303,80.8313911509,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-O,Västra Götalandsregionen,0,nowcast,33,41.727272697,-0.131313060606,58.2766824463,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-O,Västra Götalandsregionen,1,forecast,33,54.7676767576,-0.222222151515,74.7760291974,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-O,Västra Götalandsregionen,2,forecast,33,60.9696969394,-0.101010030303,87.1826133486,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean3,SE-O,Västra Götalandsregionen,3,forecast,33,67.4646463939,0.171717242424,97.8196133558,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE,Sverige,0,nowcast,33,375.898989879,-6.36363636364,528.00326176,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE,Sverige,1,forecast,33,444.888888848,-7.09090909091,620.558920422,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE,Sverige,2,forecast,33,500.383838364,-7,697.227967298,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE,Sverige,3,forecast,33,548.848484848,-5.78787878788,764.114275666,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-M,Region Skåne,0,nowcast,33,40.5757576364,-0.292929272727,58.7123330469,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-M,Region Skåne,1,forecast,33,50.636363697,-0.414141393939,70.1627737487,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-M,Region Skåne,2,forecast,33,60.4141414545,-0.32323230303,80.1797014087,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-M,Region Skåne,3,forecast,33,69.7171717576,-0.232323212121,89.1274010035,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-O,Västra Götalandsregionen,0,nowcast,33,52.4040404545,-0.515151545455,73.0908985978,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-O,Västra Götalandsregionen,1,forecast,33,62.9696970606,-0.606060636364,86.4055312231,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-O,Västra Götalandsregionen,2,forecast,33,73.4949495455,-0.484848515152,97.9520428358,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-mean6,SE-O,Västra Götalandsregionen,3,forecast,33,84.6161616667,-0.212121242424,108.845765518,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE,Sverige,0,nowcast,33,172.818181818,-1.18181818182,259.691366935,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE,Sverige,1,forecast,33,298.757575758,-1.90909090909,438.385986007,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE,Sverige,2,forecast,33,414.121212121,-1.81818181818,581.586023758,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE,Sverige,3,forecast,33,495.393939394,-0.606060606061,689.919846025,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-M,Region Skåne,0,nowcast,33,17.7878787879,0.030303030303,28.0977730165,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-M,Region Skåne,1,forecast,33,30.8181818182,-0.0909090909091,46.8243008652,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-M,Region Skåne,2,forecast,33,41.8181818182,0,63.2096080154,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-M,Region Skåne,3,forecast,33,49.303030303,0.0909090909091,74.8131004571,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-O,Västra Götalandsregionen,0,nowcast,33,28.8181818182,0.030303030303,45.4716028601,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-O,Västra Götalandsregionen,1,forecast,33,48.4848484848,-0.0606060606061,67.7575893099,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-O,Västra Götalandsregionen,2,forecast,33,58.8484848485,0.0606060606061,80.2375261711,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
hubdemo-persistence,SE-O,Västra Götalandsregionen,3,forecast,33,65.1212121212,0.333333333333,93.0156389588,2025-10-05,2026-05-17,2026-08-25T00:00:00Z
