location,location_name,horizon,forecast_kind,n,mean_qra_wis,mean_baseline_wis,relative_wis,wis_skill,qra_coverage_50,baseline_coverage_50,nominal_coverage_50,qra_coverage_80,baseline_coverage_80,nominal_coverage_80,qra_coverage_95,baseline_coverage_95,nominal_coverage_95,first_reference_date,last_reference_date,outcome_data_version
SE,Sverige,0,nowcast,25,197.851775386,221.477060304,0.893328524021,0.106671475979,0.36,0.36,0.5,0.64,0.56,0.8,0.76,0.72,0.95,2025-11-30,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,1,forecast,24,510.325176412,298.322436572,1.71064966576,-0.710649665765,0.166666666667,0.416666666667,0.5,0.416666666667,0.5,0.8,0.833333333333,0.625,0.95,2025-12-07,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,2,forecast,23,1184.36161611,295.610721132,4.00649073745,-3.00649073745,0.217391304348,0.391304347826,0.5,0.608695652174,0.608695652174,0.8,0.739130434783,0.739130434783,0.95,2025-12-14,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,3,forecast,22,1607.04731442,243.623806537,6.59642970555,-5.59642970555,0.272727272727,0.5,0.5,0.636363636364,0.681818181818,0.8,0.727272727273,0.863636363636,0.95,2025-12-21,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,0,nowcast,25,17.738444497,21.8929581147,0.810235163474,0.189764836526,0.36,0.48,0.5,0.64,0.56,0.8,0.76,0.88,0.95,2025-11-30,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,1,forecast,24,55.7870647414,30.8250809589,1.80979458953,-0.809794589534,0.375,0.5,0.5,0.666666666667,0.583333333333,0.8,0.791666666667,0.791666666667,0.95,2025-12-07,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,2,forecast,23,88.3996474586,36.7649547329,2.40445413576,-1.40445413576,0.173913043478,0.478260869565,0.5,0.391304347826,0.652173913043,0.8,0.695652173913,0.739130434783,0.95,2025-12-14,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,3,forecast,22,137.778556151,36.6965918157,3.75453275996,-2.75453275996,0.136363636364,0.454545454545,0.5,0.5,0.636363636364,0.8,0.727272727273,0.818181818182,0.95,2025-12-21,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,0,nowcast,25,36.5360940668,32.7421477874,1.11587347,-0.115873470001,0.28,0.36,0.5,0.56,0.48,0.8,0.8,0.64,0.95,2025-11-30,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,1,forecast,24,55.6949387115,42.099176125,1.32294604878,-0.322946048781,0.333333333333,0.333333333333,0.5,0.666666666667,0.5,0.8,0.791666666667,0.666666666667,0.95,2025-12-07,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,2,forecast,23,103.739433376,44.7418157269,2.31862367878,-1.31862367878,0.347826086957,0.434782608696,0.5,0.434782608696,0.565217391304,0.8,0.695652173913,0.782608695652,0.95,2025-12-14,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,3,forecast,22,80.9252319991,43.0070504393,1.88167361334,-0.881673613338,0.181818181818,0.5,0.5,0.545454545455,0.727272727273,0.8,0.772727272727,0.772727272727,0.95,2025-12-21,2026-05-17,2026-08-25T00:00:00Z
