reference_date,horizon,location,output_type_id,term,coefficient,selected_alpha,training_sample_count
2025-11-30,0,SE,0.025,intercept,29,1,8
2025-11-30,0,SE,0.025,hubdemo-damped4,0,1,8
2025-11-30,0,SE,0.025,hubdemo-exptrend4,0,1,8
2025-11-30,0,SE,0.025,hubdemo-linear4,0,1,8
2025-11-30,0,SE,0.025,hubdemo-mean3,0,1,8
2025-11-30,0,SE,0.025,hubdemo-mean6,0,1,8
2025-11-30,0,SE,0.025,hubdemo-persistence,0,1,8
2025-11-30,0,SE,0.1,intercept,20.21666645,0.1,8
2025-11-30,0,SE,0.1,hubdemo-damped4,0,0.1,8
2025-11-30,0,SE,0.1,hubdemo-exptrend4,0,0.1,8
2025-11-30,0,SE,0.1,hubdemo-linear4,0,0.1,8
2025-11-30,0,SE,0.1,hubdemo-mean3,0.65,0.1,8
2025-11-30,0,SE,0.1,hubdemo-mean6,0,0.1,8
2025-11-30,0,SE,0.1,hubdemo-persistence,0,0.1,8
2025-11-30,0,SE,0.25,intercept,20.7582625152,0.1,8
2025-11-30,0,SE,0.25,hubdemo-damped4,0,0.1,8
2025-11-30,0,SE,0.25,hubdemo-exptrend4,0,0.1,8
2025-11-30,0,SE,0.25,hubdemo-linear4,0,0.1,8
2025-11-30,0,SE,0.25,hubdemo-mean3,0.0339943327368,0.1,8
2025-11-30,0,SE,0.25,hubdemo-mean6,0,0.1,8
2025-11-30,0,SE,0.25,hubdemo-persistence,0.557129368515,0.1,8
2025-11-30,0,SE,0.5,intercept,8.11035470509,0.1,8
2025-11-30,0,SE,0.5,hubdemo-damped4,0,0.1,8
2025-11-30,0,SE,0.5,hubdemo-exptrend4,0,0.1,8
2025-11-30,0,SE,0.5,hubdemo-linear4,0.241255900981,0.1,8
2025-11-30,0,SE,0.5,hubdemo-mean3,0,0.1,8
2025-11-30,0,SE,0.5,hubdemo-mean6,1.13863558868,0.1,8
2025-11-30,0,SE,0.5,hubdemo-persistence,0,0.1,8
2025-11-30,0,SE,0.75,intercept,-30.2648204564,0.1,8
2025-11-30,0,SE,0.75,hubdemo-damped4,0,0.1,8
2025-11-30,0,SE,0.75,hubdemo-exptrend4,0,0.1,8
2025-11-30,0,SE,0.75,hubdemo-linear4,0,0.1,8
2025-11-30,0,SE,0.75,hubdemo-mean3,0,0.1,8
2025-11-30,0,SE,0.75,hubdemo-mean6,3.62845846934,0.1,8
2025-11-30,0,SE,0.75,hubdemo-persistence,0,0.1,8
2025-11-30,0,SE,0.9,intercept,-9.88,0.1,8
2025-11-30,0,SE,0.9,hubdemo-damped4,0,0.1,8
2025-11-30,0,SE,0.9,hubdemo-exptrend4,0,0.1,8
2025-11-30,0,SE,0.9,hubdemo-linear4,0,0.1,8
2025-11-30,0,SE,0.9,hubdemo-mean3,0,0.1,8
2025-11-30,0,SE,0.9,hubdemo-mean6,3.28,0.1,8
2025-11-30,0,SE,0.9,hubdemo-persistence,0,0.1,8
2025-11-30,0,SE,0.975,intercept,-9.88,0.01,8
2025-11-30,0,SE,0.975,hubdemo-damped4,0,0.01,8
2025-11-30,0,SE,0.975,hubdemo-exptrend4,0,0.01,8
2025-11-30,0,SE,0.975,hubdemo-linear4,0,0.01,8
2025-11-30,0,SE,0.975,hubdemo-mean3,0,0.01,8
2025-11-30,0,SE,0.975,hubdemo-mean6,3.28,0.01,8
2025-11-30,0,SE,0.975,hubdemo-persistence,0,0.01,8
2025-12-07,0,SE,0.025,intercept,29,1,9
2025-12-07,0,SE,0.025,hubdemo-damped4,0,1,9
2025-12-07,0,SE,0.025,hubdemo-exptrend4,0,1,9
2025-12-07,0,SE,0.025,hubdemo-linear4,0,1,9
