location,location_name,horizon,forecast_kind,n,mean_wis,coverage_50,nominal_coverage_50,coverage_80,nominal_coverage_80,coverage_95,nominal_coverage_95,first_reference_date,last_reference_date,outcome_data_version
SE,Sverige,0,nowcast,25,197.851775386,0.36,0.5,0.64,0.8,0.76,0.95,2025-11-30,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,1,forecast,24,510.325176412,0.166666666667,0.5,0.416666666667,0.8,0.833333333333,0.95,2025-12-07,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,2,forecast,23,1184.36161611,0.217391304348,0.5,0.608695652174,0.8,0.739130434783,0.95,2025-12-14,2026-05-17,2026-08-25T00:00:00Z
SE,Sverige,3,forecast,22,1607.04731442,0.272727272727,0.5,0.636363636364,0.8,0.727272727273,0.95,2025-12-21,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,0,nowcast,25,17.738444497,0.36,0.5,0.64,0.8,0.76,0.95,2025-11-30,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,1,forecast,24,55.7870647414,0.375,0.5,0.666666666667,0.8,0.791666666667,0.95,2025-12-07,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,2,forecast,23,88.3996474586,0.173913043478,0.5,0.391304347826,0.8,0.695652173913,0.95,2025-12-14,2026-05-17,2026-08-25T00:00:00Z
SE-M,Region Skåne,3,forecast,22,137.778556151,0.136363636364,0.5,0.5,0.8,0.727272727273,0.95,2025-12-21,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,0,nowcast,25,36.5360940668,0.28,0.5,0.56,0.8,0.8,0.95,2025-11-30,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,1,forecast,24,55.6949387115,0.333333333333,0.5,0.666666666667,0.8,0.791666666667,0.95,2025-12-07,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,2,forecast,23,103.739433376,0.347826086957,0.5,0.434782608696,0.8,0.695652173913,0.95,2025-12-14,2026-05-17,2026-08-25T00:00:00Z
SE-O,Västra Götalandsregionen,3,forecast,22,80.9252319991,0.181818181818,0.5,0.545454545455,0.8,0.772727272727,0.95,2025-12-21,2026-05-17,2026-08-25T00:00:00Z
