reference_date,target_end_date,target,horizon,location,location_name,forecast_kind,observed_value,median,wis,covered_50,covered_80,covered_95,outcome_data_version
2025-11-30,2025-11-30,weekly incident influenza cases,0,SE,Sverige,nowcast,376,148.714646618,142.997332012,false,false,false,2026-08-25T00:00:00Z
2025-12-07,2025-12-07,weekly incident influenza cases,0,SE,Sverige,nowcast,717,398.867342524,148.49965942,false,false,false,2026-08-25T00:00:00Z
2025-12-14,2025-12-14,weekly incident influenza cases,0,SE,Sverige,nowcast,1325,1307.32174372,8.22393894829,true,true,true,2026-08-25T00:00:00Z
2025-12-21,2025-12-21,weekly incident influenza cases,0,SE,Sverige,nowcast,1638,2480.79448528,782.917911132,false,false,false,2026-08-25T00:00:00Z
2025-12-28,2025-12-28,weekly incident influenza cases,0,SE,Sverige,nowcast,1682,1608.39197897,248.785739602,true,true,true,2026-08-25T00:00:00Z
2026-01-04,2026-01-04,weekly incident influenza cases,0,SE,Sverige,nowcast,2227,889.008209185,994.578986857,false,false,false,2026-08-25T00:00:00Z
2026-01-11,2026-01-11,weekly incident influenza cases,0,SE,Sverige,nowcast,1532,2407.03334662,526.398844699,false,true,true,2026-08-25T00:00:00Z
2026-01-18,2026-01-18,weekly incident influenza cases,0,SE,Sverige,nowcast,1082,1077.63740053,70.7154506895,true,true,true,2026-08-25T00:00:00Z
2026-01-25,2026-01-25,weekly incident influenza cases,0,SE,Sverige,nowcast,968,661.024439998,139.813146613,false,true,true,2026-08-25T00:00:00Z
2026-02-01,2026-02-01,weekly incident influenza cases,0,SE,Sverige,nowcast,1107,477.404815345,473.788141159,false,false,false,2026-08-25T00:00:00Z
2026-02-08,2026-02-08,weekly incident influenza cases,0,SE,Sverige,nowcast,1404,874.005643353,367.848277967,false,false,false,2026-08-25T00:00:00Z
2026-02-15,2026-02-15,weekly incident influenza cases,0,SE,Sverige,nowcast,1616,1542.67003618,132.33619553,false,true,true,2026-08-25T00:00:00Z
2026-02-22,2026-02-22,weekly incident influenza cases,0,SE,Sverige,nowcast,1529,1603.53440323,103.228007584,true,true,true,2026-08-25T00:00:00Z
2026-03-01,2026-03-01,weekly incident influenza cases,0,SE,Sverige,nowcast,1252,1333.5618815,94.8020906226,true,true,true,2026-08-25T00:00:00Z
2026-03-08,2026-03-08,weekly incident influenza cases,0,SE,Sverige,nowcast,775,1013.76161148,145.007072378,false,false,true,2026-08-25T00:00:00Z
