reference_date,target,horizon,location,output_type,output_type_id,value
2026-10-04,weekly incident influenza cases,0,SE,mean,,120
2026-10-04,weekly incident influenza cases,1,SE,mean,,125.5
2026-10-04,weekly incident influenza cases,2,SE,mean,,131
2026-10-04,weekly incident influenza cases,3,SE,mean,,138
2026-10-04,weekly incident influenza cases,0,SE-M,mean,,18
2026-10-04,weekly incident influenza cases,1,SE-M,mean,,19
2026-10-04,weekly incident influenza cases,2,SE-M,mean,,20
2026-10-04,weekly incident influenza cases,3,SE-M,mean,,21
2026-10-04,weekly incident influenza cases,0,SE-O,mean,,24
2026-10-04,weekly incident influenza cases,1,SE-O,mean,,25
2026-10-04,weekly incident influenza cases,2,SE-O,mean,,27
2026-10-04,weekly incident influenza cases,3,SE-O,mean,,29
