reference_date,target,horizon,location,output_type,output_type_id,value
2026-04-05,weekly incident influenza cases,0,SE,mean,,78.200000
2026-04-05,weekly incident influenza cases,1,SE,mean,,0.000000
2026-04-05,weekly incident influenza cases,2,SE,mean,,0.000000
2026-04-05,weekly incident influenza cases,3,SE,mean,,0.000000
2026-04-05,weekly incident influenza cases,0,SE-M,mean,,3.880000
2026-04-05,weekly incident influenza cases,1,SE-M,mean,,0.000000
2026-04-05,weekly incident influenza cases,2,SE-M,mean,,0.000000
2026-04-05,weekly incident influenza cases,3,SE-M,mean,,0.000000
2026-04-05,weekly incident influenza cases,0,SE-O,mean,,11.640000
2026-04-05,weekly incident influenza cases,1,SE-O,mean,,0.000000
2026-04-05,weekly incident influenza cases,2,SE-O,mean,,0.000000
2026-04-05,weekly incident influenza cases,3,SE-O,mean,,0.000000
