reference_date,target,horizon,location,output_type,output_type_id,value
2025-12-07,weekly incident influenza cases,0,SE,mean,,437.500000
2025-12-07,weekly incident influenza cases,1,SE,mean,,542.800000
2025-12-07,weekly incident influenza cases,2,SE,mean,,648.100000
2025-12-07,weekly incident influenza cases,3,SE,mean,,753.400000
2025-12-07,weekly incident influenza cases,0,SE-M,mean,,22.500000
2025-12-07,weekly incident influenza cases,1,SE-M,mean,,26.600000
2025-12-07,weekly incident influenza cases,2,SE-M,mean,,30.700000
2025-12-07,weekly incident influenza cases,3,SE-M,mean,,34.800000
2025-12-07,weekly incident influenza cases,0,SE-O,mean,,40.500000
2025-12-07,weekly incident influenza cases,1,SE-O,mean,,50.300000
2025-12-07,weekly incident influenza cases,2,SE-O,mean,,60.100000
2025-12-07,weekly incident influenza cases,3,SE-O,mean,,69.900000
