reference_date,target,horizon,location,output_type,output_type_id,value
2025-12-07,weekly incident influenza cases,0,SE,mean,,212.666667
2025-12-07,weekly incident influenza cases,1,SE,mean,,212.666667
2025-12-07,weekly incident influenza cases,2,SE,mean,,212.666667
2025-12-07,weekly incident influenza cases,3,SE,mean,,212.666667
2025-12-07,weekly incident influenza cases,0,SE-M,mean,,13.666667
2025-12-07,weekly incident influenza cases,1,SE-M,mean,,13.666667
2025-12-07,weekly incident influenza cases,2,SE-M,mean,,13.666667
2025-12-07,weekly incident influenza cases,3,SE-M,mean,,13.666667
2025-12-07,weekly incident influenza cases,0,SE-O,mean,,18.666667
2025-12-07,weekly incident influenza cases,1,SE-O,mean,,18.666667
2025-12-07,weekly incident influenza cases,2,SE-O,mean,,18.666667
2025-12-07,weekly incident influenza cases,3,SE-O,mean,,18.666667
