reference_date,target,horizon,location,output_type,output_type_id,value
2026-10-04,weekly incident influenza cases,0,SE,mean,,100
2026-10-04,weekly incident influenza cases,1,SE,mean,,105
2026-10-04,weekly incident influenza cases,2,SE,mean,,110
2026-10-04,weekly incident influenza cases,3,SE,mean,,115
2026-10-04,weekly incident influenza cases,0,SE-M,mean,,15
2026-10-04,weekly incident influenza cases,1,SE-M,mean,,16
2026-10-04,weekly incident influenza cases,2,SE-M,mean,,17
2026-10-04,weekly incident influenza cases,3,SE-M,mean,,18
2026-10-04,weekly incident influenza cases,0,SE-O,mean,,20
2026-10-04,weekly incident influenza cases,1,SE-O,mean,,21
2026-10-04,weekly incident influenza cases,2,SE-O,mean,,22
2026-10-04,weekly incident influenza cases,3,SE-O,mean,,23
