location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE,Sverige,2025,40,2025-10-05,29,available,historical,2026-08-25T00:00:00Z,00,2025W40,
SE-M,Region Skåne,2025,40,2025-10-05,1,available,historical,2026-08-25T00:00:00Z,12,2025W40,
SE-O,Västra Götalandsregionen,2025,40,2025-10-05,3,available,historical,2026-08-25T00:00:00Z,14,2025W40,
SE,Sverige,2025,41,2025-10-12,33,available,historical,2026-08-25T00:00:00Z,00,2025W41,
SE-M,Region Skåne,2025,41,2025-10-12,4,available,historical,2026-08-25T00:00:00Z,12,2025W41,
SE-O,Västra Götalandsregionen,2025,41,2025-10-12,6,available,historical,2026-08-25T00:00:00Z,14,2025W41,
SE,Sverige,2025,42,2025-10-19,59,available,historical,2026-08-25T00:00:00Z,00,2025W42,
SE-M,Region Skåne,2025,42,2025-10-19,4,available,historical,2026-08-25T00:00:00Z,12,2025W42,
SE-O,Västra Götalandsregionen,2025,42,2025-10-19,11,available,historical,2026-08-25T00:00:00Z,14,2025W42,
SE,Sverige,2025,43,2025-10-26,55,available,historical,2026-08-25T00:00:00Z,00,2025W43,
SE-M,Region Skåne,2025,43,2025-10-26,4,available,historical,2026-08-25T00:00:00Z,12,2025W43,
SE-O,Västra Götalandsregionen,2025,43,2025-10-26,13,available,historical,2026-08-25T00:00:00Z,14,2025W43,
SE,Sverige,2025,44,2025-11-02,65,available,historical,2026-08-25T00:00:00Z,00,2025W44,
SE-M,Region Skåne,2025,44,2025-11-02,9,available,historical,2026-08-25T00:00:00Z,12,2025W44,
SE-O,Västra Götalandsregionen,2025,44,2025-11-02,12,available,historical,2026-08-25T00:00:00Z,14,2025W44,
SE,Sverige,2025,45,2025-11-09,59,available,historical,2026-08-25T00:00:00Z,00,2025W45,
SE-M,Region Skåne,2025,45,2025-11-09,8,available,historical,2026-08-25T00:00:00Z,12,2025W45,
SE-O,Västra Götalandsregionen,2025,45,2025-11-09,8,available,historical,2026-08-25T00:00:00Z,14,2025W45,
SE,Sverige,2025,46,2025-11-16,80,available,historical,2026-08-25T00:00:00Z,00,2025W46,
SE-M,Region Skåne,2025,46,2025-11-16,9,available,historical,2026-08-25T00:00:00Z,12,2025W46,
SE-O,Västra Götalandsregionen,2025,46,2025-11-16,5,available,historical,2026-08-25T00:00:00Z,14,2025W46,
SE,Sverige,2025,47,2025-11-23,182,available,historical,2026-08-25T00:00:00Z,00,2025W47,
SE-M,Region Skåne,2025,47,2025-11-23,11,available,historical,2026-08-25T00:00:00Z,12,2025W47,
SE-O,Västra Götalandsregionen,2025,47,2025-11-23,13,available,historical,2026-08-25T00:00:00Z,14,2025W47,
SE,Sverige,2025,48,2025-11-30,376,available,historical,2026-08-25T00:00:00Z,00,2025W48,
SE-M,Region Skåne,2025,48,2025-11-30,21,available,historical,2026-08-25T00:00:00Z,12,2025W48,
SE-O,Västra Götalandsregionen,2025,48,2025-11-30,38,available,historical,2026-08-25T00:00:00Z,14,2025W48,
SE,Sverige,2025,49,2025-12-07,717,available,historical,2026-08-25T00:00:00Z,00,2025W49,
SE-M,Region Skåne,2025,49,2025-12-07,38,available,historical,2026-08-25T00:00:00Z,12,2025W49,
SE-O,Västra Götalandsregionen,2025,49,2025-12-07,57,available,historical,2026-08-25T00:00:00Z,14,2025W49,
SE,Sverige,2025,50,2025-12-14,1325,available,historical,2026-08-25T00:00:00Z,00,2025W50,
SE-M,Region Skåne,2025,50,2025-12-14,76,available,historical,2026-08-25T00:00:00Z,12,2025W50,
SE-O,Västra Götalandsregionen,2025,50,2025-12-14,120,available,historical,2026-08-25T00:00:00Z,14,2025W50,
SE,Sverige,2025,51,2025-12-21,1638,available,historical,2026-08-25T00:00:00Z,00,2025W51,
SE-M,Region Skåne,2025,51,2025-12-21,107,available,historical,2026-08-25T00:00:00Z,12,2025W51,
SE-O,Västra Götalandsregionen,2025,51,2025-12-21,158,available,historical,2026-08-25T00:00:00Z,14,2025W51,
SE,Sverige,2025,52,2025-12-28,1682,available,historical,2026-08-25T00:00:00Z,00,2025W52,
SE-M,Region Skåne,2025,52,2025-12-28,138,available,historical,2026-08-25T00:00:00Z,12,2025W52,
SE-O,Västra Götalandsregionen,2025,52,2025-12-28,118,available,historical,2026-08-25T00:00:00Z,14,2025W52,
SE,Sverige,2026,1,2026-01-04,2227,available,historical,2026-08-25T00:00:00Z,00,2026W01,
SE-M,Region Skåne,2026,1,2026-01-04,190,available,historical,2026-08-25T00:00:00Z,12,2026W01,
SE-O,Västra Götalandsregionen,2026,1,2026-01-04,281,available,historical,2026-08-25T00:00:00Z,14,2026W01,
SE,Sverige,2026,2,2026-01-11,1532,available,historical,2026-08-25T00:00:00Z,00,2026W02,
SE-M,Region Skåne,2026,2,2026-01-11,126,available,historical,2026-08-25T00:00:00Z,12,2026W02,
