location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE,Sverige,2015,27,2015-07-05,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W27,
SE-M,Region Skåne,2015,27,2015-07-05,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W27,
SE-O,Västra Götalandsregionen,2015,27,2015-07-05,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W27,
SE,Sverige,2015,28,2015-07-12,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W28,
SE-M,Region Skåne,2015,28,2015-07-12,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W28,
SE-O,Västra Götalandsregionen,2015,28,2015-07-12,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W28,
SE,Sverige,2015,29,2015-07-19,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W29,
SE-M,Region Skåne,2015,29,2015-07-19,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W29,
SE-O,Västra Götalandsregionen,2015,29,2015-07-19,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W29,
SE,Sverige,2015,30,2015-07-26,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W30,
SE-M,Region Skåne,2015,30,2015-07-26,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W30,
SE-O,Västra Götalandsregionen,2015,30,2015-07-26,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W30,
SE,Sverige,2015,31,2015-08-02,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W31,
SE-M,Region Skåne,2015,31,2015-08-02,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W31,
SE-O,Västra Götalandsregionen,2015,31,2015-08-02,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W31,
SE,Sverige,2015,32,2015-08-09,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W32,
SE-M,Region Skåne,2015,32,2015-08-09,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W32,
SE-O,Västra Götalandsregionen,2015,32,2015-08-09,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W32,
SE,Sverige,2015,33,2015-08-16,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W33,
SE-M,Region Skåne,2015,33,2015-08-16,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W33,
SE-O,Västra Götalandsregionen,2015,33,2015-08-16,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W33,
SE,Sverige,2015,34,2015-08-23,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W34,
SE-M,Region Skåne,2015,34,2015-08-23,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W34,
SE-O,Västra Götalandsregionen,2015,34,2015-08-23,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W34,
SE,Sverige,2015,35,2015-08-30,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W35,
SE-M,Region Skåne,2015,35,2015-08-30,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W35,
SE-O,Västra Götalandsregionen,2015,35,2015-08-30,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W35,
SE,Sverige,2015,36,2015-09-06,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W36,
SE-M,Region Skåne,2015,36,2015-09-06,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W36,
SE-O,Västra Götalandsregionen,2015,36,2015-09-06,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W36,
SE,Sverige,2015,37,2015-09-13,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W37,
SE-M,Region Skåne,2015,37,2015-09-13,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W37,
SE-O,Västra Götalandsregionen,2015,37,2015-09-13,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W37,
SE,Sverige,2015,38,2015-09-20,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W38,
SE-M,Region Skåne,2015,38,2015-09-20,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W38,
SE-O,Västra Götalandsregionen,2015,38,2015-09-20,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W38,
SE,Sverige,2015,39,2015-09-27,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W39,
SE-M,Region Skåne,2015,39,2015-09-27,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W39,
SE-O,Västra Götalandsregionen,2015,39,2015-09-27,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W39,
SE,Sverige,2015,40,2015-10-04,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W40,
SE-M,Region Skåne,2015,40,2015-10-04,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W40,
SE-O,Västra Götalandsregionen,2015,40,2015-10-04,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W40,
SE,Sverige,2015,41,2015-10-11,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W41,
SE-M,Region Skåne,2015,41,2015-10-11,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W41,
SE-O,Västra Götalandsregionen,2015,41,2015-10-11,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W41,
SE,Sverige,2015,42,2015-10-18,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W42,
SE-M,Region Skåne,2015,42,2015-10-18,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W42,
SE-O,Västra Götalandsregionen,2015,42,2015-10-18,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W42,
SE,Sverige,2015,43,2015-10-25,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W43,
SE-M,Region Skåne,2015,43,2015-10-25,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W43,
SE-O,Västra Götalandsregionen,2015,43,2015-10-25,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W43,
SE,Sverige,2015,44,2015-11-01,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W44,
SE-M,Region Skåne,2015,44,2015-11-01,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W44,
SE-O,Västra Götalandsregionen,2015,44,2015-11-01,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W44,
SE,Sverige,2015,45,2015-11-08,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W45,
SE-M,Region Skåne,2015,45,2015-11-08,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W45,
SE-O,Västra Götalandsregionen,2015,45,2015-11-08,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W45,
