reference_date,target,horizon,location,output_type,output_type_id,value
2025-10-05,weekly incident influenza cases,0,SE,mean,,
2025-10-05,weekly incident influenza cases,1,SE,mean,,
2025-10-05,weekly incident influenza cases,2,SE,mean,,
2025-10-05,weekly incident influenza cases,3,SE,mean,,
2025-10-05,weekly incident influenza cases,0,SE-M,mean,,
2025-10-05,weekly incident influenza cases,1,SE-M,mean,,
2025-10-05,weekly incident influenza cases,2,SE-M,mean,,
2025-10-05,weekly incident influenza cases,3,SE-M,mean,,
2025-10-05,weekly incident influenza cases,0,SE-O,mean,,
2025-10-05,weekly incident influenza cases,1,SE-O,mean,,
2025-10-05,weekly incident influenza cases,2,SE-O,mean,,
2025-10-05,weekly incident influenza cases,3,SE-O,mean,,
2025-10-12,weekly incident influenza cases,0,SE,mean,,
2025-10-12,weekly incident influenza cases,1,SE,mean,,
2025-10-12,weekly incident influenza cases,2,SE,mean,,
2025-10-12,weekly incident influenza cases,3,SE,mean,,
2025-10-12,weekly incident influenza cases,0,SE-M,mean,,
2025-10-12,weekly incident influenza cases,1,SE-M,mean,,
2025-10-12,weekly incident influenza cases,2,SE-M,mean,,
2025-10-12,weekly incident influenza cases,3,SE-M,mean,,
2025-10-12,weekly incident influenza cases,0,SE-O,mean,,
2025-10-12,weekly incident influenza cases,1,SE-O,mean,,
2025-10-12,weekly incident influenza cases,2,SE-O,mean,,
2025-10-12,weekly incident influenza cases,3,SE-O,mean,,
2025-10-19,weekly incident influenza cases,0,SE,mean,,
2025-10-19,weekly incident influenza cases,1,SE,mean,,
2025-10-19,weekly incident influenza cases,2,SE,mean,,
2025-10-19,weekly incident influenza cases,3,SE,mean,,
2025-10-19,weekly incident influenza cases,0,SE-M,mean,,
2025-10-19,weekly incident influenza cases,1,SE-M,mean,,
2025-10-19,weekly incident influenza cases,2,SE-M,mean,,
2025-10-19,weekly incident influenza cases,3,SE-M,mean,,
2025-10-19,weekly incident influenza cases,0,SE-O,mean,,
2025-10-19,weekly incident influenza cases,1,SE-O,mean,,
2025-10-19,weekly incident influenza cases,2,SE-O,mean,,
2025-10-19,weekly incident influenza cases,3,SE-O,mean,,
2025-10-26,weekly incident influenza cases,0,SE,mean,,
2025-10-26,weekly incident influenza cases,1,SE,mean,,
2025-10-26,weekly incident influenza cases,2,SE,mean,,
2025-10-26,weekly incident influenza cases,3,SE,mean,,
