reference_date,target,horizon,location,output_type,output_type_id,value
YYYY-MM-DD,weekly incident influenza cases,0,SE,mean,,
YYYY-MM-DD,weekly incident influenza cases,1,SE,mean,,
YYYY-MM-DD,weekly incident influenza cases,2,SE,mean,,
YYYY-MM-DD,weekly incident influenza cases,3,SE,mean,,
YYYY-MM-DD,weekly incident influenza cases,0,SE-M,mean,,
YYYY-MM-DD,weekly incident influenza cases,1,SE-M,mean,,
YYYY-MM-DD,weekly incident influenza cases,2,SE-M,mean,,
YYYY-MM-DD,weekly incident influenza cases,3,SE-M,mean,,
YYYY-MM-DD,weekly incident influenza cases,0,SE-O,mean,,
YYYY-MM-DD,weekly incident influenza cases,1,SE-O,mean,,
YYYY-MM-DD,weekly incident influenza cases,2,SE-O,mean,,
YYYY-MM-DD,weekly incident influenza cases,3,SE-O,mean,,
